delta,fps,pixel,device_type,cpu,memory,consumption,gpu,in_time,cumm_net_delay,viewer_satisfaction
58,15,1080,Orin,41,71,7,30,True,68,1080
43,15,1080,Orin,42,71,7,30,True,53,1080
39,15,1080,Orin,19,71,6,30,True,49,1080
38,15,1080,Orin,16,71,6,30,True,48,1080
40,15,1080,Orin,22,71,6,30,True,50,1080
38,15,1080,Orin,21,71,6,30,True,48,1080
40,15,1080,Orin,16,71,6,30,True,50,1080
39,15,1080,Orin,17,71,6,30,True,49,1080
39,15,1080,Orin,17,71,6,30,True,49,1080
40,15,1080,Orin,18,71,6,30,True,50,1080
38,15,1080,Orin,20,71,6,30,True,48,1080
42,15,1080,Orin,21,71,6,30,True,52,1080
38,15,1080,Orin,17,71,6,30,True,48,1080
38,15,1080,Orin,17,71,6,30,True,48,1080
38,15,1080,Orin,17,71,6,30,True,48,1080
38,15,1080,Orin,18,71,6,30,True,48,1080
39,15,1080,Orin,20,71,6,30,True,49,1080
40,15,1080,Orin,15,71,6,30,True,50,1080
39,15,1080,Orin,22,71,6,30,True,49,1080
38,15,1080,Orin,19,71,6,30,True,48,1080
39,15,1080,Orin,20,71,6,30,True,49,1080
39,15,1080,Orin,20,71,6,30,True,49,1080
38,15,1080,Orin,19,71,6,30,True,48,1080
38,15,1080,Orin,20,71,6,30,True,48,1080
40,15,1080,Orin,18,71,6,30,True,50,1080
38,15,1080,Orin,15,71,6,30,True,48,1080
42,15,1080,Orin,21,71,6,30,True,52,1080
42,15,1080,Orin,22,71,6,30,True,52,1080
39,15,1080,Orin,15,71,6,30,True,49,1080
39,15,1080,Orin,22,71,6,30,True,49,1080
39,15,1080,Orin,17,71,6,30,True,49,1080
39,15,1080,Orin,18,71,6,30,True,49,1080
39,15,1080,Orin,17,71,6,30,True,49,1080
40,15,1080,Orin,22,71,6,30,True,50,1080
39,15,1080,Orin,24,71,6,30,True,49,1080
38,15,1080,Orin,19,71,6,30,True,48,1080
39,15,1080,Orin,11,71,6,30,True,49,1080
39,15,1080,Orin,20,71,6,30,True,49,1080
40,15,1080,Orin,19,71,6,30,True,50,1080
39,15,1080,Orin,17,71,6,30,True,49,1080
39,15,1080,Orin,17,71,6,30,True,49,1080
39,15,1080,Orin,17,71,6,30,True,49,1080
40,15,1080,Orin,35,71,6,30,True,50,1080
42,15,1080,Orin,32,71,6,30,True,52,1080
40,15,1080,Orin,15,71,6,30,True,50,1080
39,15,1080,Orin,19,71,6,30,True,49,1080
39,15,1080,Orin,14,71,6,30,True,49,1080
39,15,1080,Orin,20,71,6,30,True,49,1080
40,15,1080,Orin,20,71,6,30,True,50,1080
39,15,1080,Orin,22,71,6,30,True,49,1080
40,15,1080,Orin,19,71,6,30,True,50,1080
